numprocesso;ano;modalidade;situacao;objeto;orgao;criteriojulgamento;valor_estimado;valor_ou_desconto_homologado;dataabertura;datahomologacao;arquivo;objeto_normalizado;proporcao_homologado_estimado;flag_sobrepreco;lead_time_dias;ano_abertura;volume_licitacoes_orgao_ano;orgao_norm;municipio_extraido;populacao;idhm;categoria_objeto;score_anomalia;score_if;score_lof;classificacao;flag_anomalia;driver_principal;z_score_driver;tipo_anomalia;driver_contexto;valor_estimado_fmt;valor_homol_fmt;proporcao_fmt;lead_time_fmt
1058;2023;Pregão Eletrônico;Fase Certame;CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO E INSTALAÇÃO DE PISO PAVER;UEL-Universidade Estadual de Londrina;Menor Preço;21800000.0;;2023-12-12;;TB_LICITACOES-2023.csv;contratação de empresa para fornecimento e instalação de piso paver;;False;;2023;377;uel-universidade estadual de londrina;Londrina;581382.0;0.725;servicos;0.26695009172282164;0.42380431746038705;0.031668753116473644;Suspeita Moderada;True;gasto_per_capita_log1p;3.65;Gasto per Capita Atípico;gasto per capita muito alto;R$ 21,800,000;—;—;—
955;2022;Pregão Eletrônico;Homologado;"Contratação através de Registro de Preços para aquisição de filtros compactos para atendimento as necessidades de manutenção do Corredor de Exportação da Administração dos Portos de Paranaguá e Antonina por um período de 12 doze meses, conforme justificativas, especificações técnicas constantes do Termo de referência, do Edital e demais anexos.
";APPA-Administração dos Portos de Paranaguá e Antonina;Menor Preço;14548896.0;7236000.0;2022-06-30;2022-08-04;TB_LICITACOES-2022.csv;contratação através de registro de preços para aquisição de filtros compactos para atendimento as necessidades de manutenção do corredor de exportação da administração dos portos de paranaguá e antonina por um período de 12 doze meses, conforme justificativas, especificações técnicas constantes do termo de referência, do edital e demais anexos.;0.49735732525684423;False;35.0;2022;75;appa-administracao dos portos de paranagua e antonina;Paranaguá;150104.0;0.746;outros;0.266929919210518;0.4204356147216886;0.036671375943762206;Suspeita Moderada;True;gasto_per_capita_log1p;4.58;Gasto per Capita Atípico;gasto per capita muito alto;R$ 14,548,896;R$ 7,236,000;0.50×;35 dias
981;2024;Pregão Eletrônico (Lei Federal 14.133/2021);Homologado;Aquisição de Componentes de Hardware para modernizar o Centro Integrado de Computação em Ambiente Colaborativo de Pesquisa, Desenvolvimento e Inovação em Ciências Forenses da Polícia Científica do Paraná.;PCP-SESP-Polícia Científica do Paraná - SESP (Antigo IC-SESP);Menor Preço;13233280.0;4735920.0;2024-11-25;2025-06-27;TB_LICITACOES-2024.csv;aquisição de componentes de hardware para modernizar o centro integrado de computação em ambiente colaborativo de pesquisa, desenvolvimento e inovação em ciências forenses da polícia científica do paraná.;0.35787952797794653;False;214.0;2024;11;pcp-sesp-policia cientifica do parana - sesp (antigo ic-sesp);;;;seguranca;0.26689677529432265;0.4024424375559906;0.06357828190182077;Suspeita Moderada;True;desconto_pct;1.8;Desconto Atípico;desconto de 64%;R$ 13,233,280;R$ 4,735,920;0.36×;214 dias
1867;2024;Pregão Eletrônico (Lei Federal 14.133/2021);Homologado;Aquisição de mobiliários;UEL-Universidade Estadual de Londrina;Menor Preço;3640814.0;;2024-11-26;2024-12-13;TB_LICITACOES-2024.csv;aquisição de mobiliários;;False;17.0;2024;250;uel-universidade estadual de londrina;Londrina;581382.0;0.725;mobiliario;0.26689138285501446;0.4054899372056702;0.05899355132903092;Suspeita Moderada;True;gasto_per_capita_log1p;1.98;Gasto per Capita Atípico;gasto per capita muito alto;R$ 3,640,814;—;—;17 dias
235;2023;Pregão Eletrônico (Lei Federal 14.133/2021);Fase Certame;Aquisição de Andaimes para a Unioeste Campus de Cascavel;UNIOESTE CASC-Universidade Estadual do Oeste do Paraná - Campus Cascavel;Menor Preço;1681400.0;;2023-09-04;;TB_LICITACOES-2023.csv;aquisição de andaimes para a unioeste campus de cascavel;;False;;2023;27;unioeste casc-universidade estadual do oeste do parana - campus cascavel;Cascavel;368195.0;0.713;outros;0.2668182486735195;0.4363991753119017;0.012446858715946271;Suspeita Moderada;True;lead_time_log1p;1.92;Prazo Processual Atípico;prazo atípico;R$ 1,681,400;—;—;—
211;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;"ESPECIALIZADA PARA EXECUÇÃO DA REFORMA E AMPLIAÇÃO PARA
CONCLUSÃO DA CONSTRUÇÃO";FUNEAS-Fundação Estatal de Atenção em Saúde do Estado do Paraná;Menor Preço;188022386.0;185900000.0;2024-12-16;2025-02-18;TB_LICITACOES-2024.csv;especializada para execução da reforma e ampliação para conclusão da construção;0.9887120568717812;False;64.0;2024;173;funeas-fundacao estatal de atencao em saude do estado do parana;;;;obras;0.2667879740627371;0.4133400984061583;0.04695978754760524;Suspeita Moderada;True;orgao_freq_pct;0.83;Padrão de Órgão Atípico;padrão de órgão atípico;R$ 188,022,386;R$ 185,900,000;0.99×;64 dias
1895;2022;Pregão Eletrônico;Homologado;Selecionar a proposta mais vantajosa para aquisição de MATERIAIS DE LIMPEZA. Onze lotes com quantidades e especificações constantes no anexo I do edital. Com recursos do tesouro.;UEPG-Universidade Estadual de Ponta Grossa;Menor Preço;29423000.0;16811980.0;2022-11-03;2022-11-29;TB_LICITACOES-2022.csv;selecionar a proposta mais vantajosa para aquisição de materiais de limpeza. onze lotes com quantidades e especificações constantes no anexo i do edital. com recursos do tesouro.;0.5713890493831356;False;26.0;2022;69;uepg-universidade estadual de ponta grossa;Ponta Grossa;375632.0;0.705;educacao;0.26677272351669273;0.43855479453519075;0.009099616988945675;Suspeita Moderada;True;gasto_per_capita_log1p;4.37;Gasto per Capita Atípico;gasto per capita muito alto;R$ 29,423,000;R$ 16,811,980;0.57×;26 dias
734;2023;Pregão Eletrônico;Fase Certame;Contratacao de empresa especializada para prestar servico de administracao gerenciamento emissao distribuicao e fornecimento de auxilio vale alimentacao por cartao eletronico magnetico em PVC e ou outro material similar com chip eletronico de seguranca e senha individual;PARANAEDUCACAO-Serviço Social Autônomo PARANAEDUCACAO;Menor Preço;67578264.0;;2023-06-05;;TB_LICITACOES-2023.csv;contratacao de empresa especializada para prestar servico de administracao gerenciamento emissao distribuicao e fornecimento de auxilio vale alimentacao por cartao eletronico magnetico em pvc e ou outro material similar com chip eletronico de seguranca e senha individual;;False;;2023;5;paranaeducacao-servico social autonomo paranaeducacao;;;;alimentacao;0.26676056909031653;0.4283129265141148;0.024432032954619307;Suspeita Moderada;True;volume_orgao_ano_log1p;2.09;Volume Anual Atípico;volume de licitações atípico;R$ 67,578,264;—;—;—
932;2024;Pregão Eletrônico (Lei Federal 14.133/2021);Homologado;Aquisição de Farelo de soja e Farelo de trigo;UEPG-Universidade Estadual de Ponta Grossa;Menor Preço;24490000.0;;2024-08-08;2024-08-21;TB_LICITACOES-2024.csv;aquisição de farelo de soja e farelo de trigo;;False;13.0;2024;46;uepg-universidade estadual de ponta grossa;Ponta Grossa;375632.0;0.705;outros;0.2667123969242997;0.4266820130823486;0.026757972687226336;Suspeita Moderada;True;gasto_per_capita_log1p;4.19;Gasto per Capita Atípico;gasto per capita muito alto;R$ 24,490,000;—;—;13 dias
14;2020;Licitação Presencial - Estatal;Homologado;O   presente   procedimento   licitatório   tem   por objeto   a Contratação   de empresa   paraelaboração de  ProjetoBásico  de  Engenharia  para  construção  de  6  (seis)  novos  trapiches  a serem  construídos  nas  comunidades  de  Piaçaguera,  Eufrasina,  Ilhado  Teixeira,  Amparo, Europinha e   VilaMaciel,   situados   na   área   de   influência   direta   da   dragagem   de aprofundamento  do  Porto  de  Paranaguá-PR,  de  acordo  com  asnormas  vigentes  e  demais condições presentes no Termo de Referência, este Edital e demais anexos.Os projetos desenvolvidos pela contratada serãoutilizadospela APPA para deflagrarlicitação específica  para  a  contratação  das obras,  programasambientais, serviçose  fornecimentos necessários para a construção dos trapiches.;APPA-Administração dos Portos de Paranaguá e Antonina;Menor Preço;12966287.0;10240104.0;2020-10-28;2020-12-10;TB_LICITACOES-2020.csv;o presente procedimento licitatório tem por objeto a contratação de empresa paraelaboração de projetobásico de engenharia para construção de 6 (seis) novos trapiches a serem construídos nas comunidades de piaçaguera, eufrasina, ilhado teixeira, amparo, europinha e vilamaciel, situados na área de influência direta da dragagem de aprofundamento do porto de paranaguá-pr, de acordo com asnormas vigentes e demais condições presentes no termo de referência, este edital e demais anexos.os projetos desenvolvidos pela contratada serãoutilizadospela appa para deflagrarlicitação específica para a contratação das obras, programasambientais, serviçose fornecimentos necessários para a construção dos trapiches.;0.7897483682105756;False;43.0;2020;89;appa-administracao dos portos de paranagua e antonina;Paranaguá;150104.0;0.746;obras;0.2665925487594195;0.4189637444375348;0.03803575524224647;Suspeita Moderada;True;gasto_per_capita_log1p;4.47;Gasto per Capita Atípico;gasto per capita muito alto;R$ 12,966,287;R$ 10,240,104;0.79×;43 dias
850;2024;Pregão Eletrônico (Lei Federal 14.133/2021);Homologado;Locação e Aquisição de Materiais para a Feira das Profissões 2024.;UEPG-Universidade Estadual de Ponta Grossa;Menor Preço;19661427.0;;2024-08-05;2024-08-23;TB_LICITACOES-2024.csv;locação e aquisição de materiais para a feira das profissões 2024.;;False;18.0;2024;46;uepg-universidade estadual de ponta grossa;Ponta Grossa;375632.0;0.705;locacao;0.2665556912512079;0.4278749842381806;0.02457675177074888;Suspeita Moderada;True;gasto_per_capita_log1p;3.98;Gasto per Capita Atípico;gasto per capita muito alto;R$ 19,661,427;—;—;18 dias
1887;2021;Pregão Eletrônico;Homologado;A presente licitação tem por objeto a futura e eventual aquisição de MEDICAMENTOS, pelo período de 12 meses.;SESA-Secretaria de Estado da Saúde;Menor Preço;426213620.0;6510000.0;2022-01-20;2022-02-17;TB_LICITACOES-2021.csv;a presente licitação tem por objeto a futura e eventual aquisição de medicamentos, pelo período de 12 meses.;0.015274030895587053;False;28.0;2022;188;sesa-secretaria de estado da saude;;;;saude;0.2664748244735578;0.4327242923932879;0.017100622593962656;Suspeita Moderada;True;desconto_pct;2.89;Desconto Atípico;desconto de 98%;R$ 426,213,620;R$ 6,510,000;0.02×;28 dias
50;2020;Pregão Eletrônico;Fracassado;" Prestação de serviços contínuos de nutrição, cocção e fornecimento de refeições transportadas por empresas especializadas destinadas aos municípios de: Toledo - PR, Piraquara - PR e Pato Branco - PR incluindo desjejum, almoço, lanche e jantar, diariamente e sem interrupções, inclusive sábados, domingos e feriados, pelo período de 365 (trezentos e sessenta e cinco) dias, para adolescentes em cumprimento de medida socioeducativa e servidores que realizam escala de trabalho 12x36h, conforme itens, especificações e quantitativos que são parte integrante do Termo de Referência.

";SEJU-Secretaria de Estado da Justiça e Cidadania (Antigo SEJUF);Menor Preço;254910890.0;;2020-02-21;;TB_LICITACOES-2020.csv;prestação de serviços contínuos de nutrição, cocção e fornecimento de refeições transportadas por empresas especializadas destinadas aos municípios de: toledo - pr, piraquara - pr e pato branco - pr incluindo desjejum, almoço, lanche e jantar, diariamente e sem interrupções, inclusive sábados, domingos e feriados, pelo período de 365 (trezentos e sessenta e cinco) dias, para adolescentes em cumprimento de medida socioeducativa e servidores que realizam escala de trabalho 12x36h, conforme itens, especificações e quantitativos que são parte integrante do termo de referência.;;False;;2020;21;seju-secretaria de estado da justica e cidadania (antigo sejuf);;;;alimentacao;0.26647237551975655;0.42266146443115576;0.03218874215265768;Suspeita Moderada;True;lead_time_log1p;1.92;Prazo Processual Atípico;prazo atípico;R$ 254,910,890;—;—;—
953;2023;Pregão Eletrônico;Homologado;FORNECIMENTO DE AREIA, CIMENTO, ARGAMASSA, BRITA E PEDRISCO.;UEL-Universidade Estadual de Londrina;Menor Preço;9712300.0;8290515.0;2023-12-04;2023-01-29;TB_LICITACOES-2023.csv;fornecimento de areia, cimento, argamassa, brita e pedrisco.;0.8536098555440009;False;0.0;2023;377;uel-universidade estadual de londrina;Londrina;581382.0;0.725;outros;0.26638650464669966;0.4051144785632565;0.058294543771864465;Suspeita Moderada;True;gasto_per_capita_log1p;2.87;Gasto per Capita Atípico;gasto per capita muito alto;R$ 9,712,300;R$ 8,290,515;0.85×;—
84;2022;Concorrência Pública;Homologado;Execução de serviços de conservação e manutenção em 256,31 km de rodovias da Superintendência Regional Oeste, denominado lote A, conforme Termo de Referência e projeto.;DER-Departamento de Estradas de Rodagem do Estado do Paraná;Menor Preço;5819245402.0;4300813753.0;2022-08-30;2023-01-24;TB_LICITACOES-2022.csv;execução de serviços de conservação e manutenção em 256,31 km de rodovias da superintendência regional oeste, denominado lote a, conforme termo de referência e projeto.;0.7390672597381553;False;147.0;2022;92;der-departamento de estradas de rodagem do estado do parana;;;;outros;0.26637727140503636;0.4374082892048105;0.009830744705375096;Suspeita Moderada;True;valor_estimado_log1p;2.0;Valor Estimado Atípico;R$ 5,819,245,402 estimado;R$ 5,819,245,402;R$ 4,300,813,753;0.74×;147 dias
7;2021;Concorrência Pública;Homologado;Execução de serviços de conservação na Rodovia PR-180, código 180N0011EPR, trecho Porto Euclides da Cunha  Entr. PR 557 (p/ Ademar de Barros), com uma extensão de 18,6 km na circunscrição da Superintendência Regional Noroeste;DER-Departamento de Estradas de Rodagem do Estado do Paraná;Menor Preço;89004353.0;49955977.0;2021-03-31;2021-08-09;TB_LICITACOES-2021.csv;execução de serviços de conservação na rodovia pr-180, código 180n0011epr, trecho porto euclides da cunha  entr. pr 557 (p/ ademar de barros), com uma extensão de 18,6 km na circunscrição da superintendência regional noroeste;0.5612756603039404;False;131.0;2021;83;der-departamento de estradas de rodagem do estado do parana;;;;outros;0.2663576040547924;0.42561157383981424;0.02747664937725979;Suspeita Moderada;True;desconto_pct;1.16;Desconto Atípico;desconto de 44%;R$ 89,004,353;R$ 49,955,977;0.56×;131 dias
12;2023;Licitação Eletrônica - Estatal;Suspenso;Contratação de pessoa jurídica para implantação de solução de serviços de gestão de frota automotiva.;CELEPAR-Companhia de Tecnologia da Informação e Comunicação do Paraná;Menor Preço;;;2023-11-16;;TB_LICITACOES-2023.csv;contratação de pessoa jurídica para implantação de solução de serviços de gestão de frota automotiva.;;False;;2023;55;celepar-companhia de tecnologia da informacao e comunicacao do parana;;;;outros;0.2662143580584256;0.439073805151189;0.006925187419280513;Suspeita Moderada;True;valor_estimado_log1p;6.61;Valor Estimado Atípico;valor atípico;—;—;—;—
29;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;Contratação de empresa especializada em serviços de engenharia para execução da Ampliação do Colégio Estadual Fazenda Velha, situado na Rua Doutor Vital Brasil, 830, Bairro Estação, fone 41 3643-3279, no Município de Araucária, Estado do Paraná.;FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional;Maior Desconto;578320511.0;;2023-10-11;2023-10-23;TB_LICITACOES-2023.csv;contratação de empresa especializada em serviços de engenharia para execução da ampliação do colégio estadual fazenda velha, situado na rua doutor vital brasil, 830, bairro estação, fone 41 3643-3279, no município de araucária, estado do paraná.;;False;12.0;2023;219;fundepar-instituto paranaense de desenvolvimento educacional;;;;educacao;0.266185675386913;0.42609420681070564;0.026322878251224133;Suspeita Moderada;True;valor_estimado_log1p;1.12;Valor Estimado Atípico;R$ 578,320,511 estimado;R$ 578,320,511;—;—;12 dias
89;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Publicado;Contratação de empresa especializada em obras de engenharia para Construção de Planetário no Parque de Ciências Newton Freire Maia, situado na Estrada da Graciosa, nº 7.400, Jardim Boa Vista, fone Área Metropolitana Norte 41 3251-6500, no Município de Pinhais, Estado do Paraná, conforme Planilha Orçamentária de Referência Anexo XII e demais elementos técnicos instrutores.;FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional;Maior Desconto;4997777591.0;;2025-11-07;;TB_LICITACOES-2025.csv;contratação de empresa especializada em obras de engenharia para construção de planetário no parque de ciências newton freire maia, situado na estrada da graciosa, nº 7.400, jardim boa vista, fone área metropolitana norte 41 3251-6500, no município de pinhais, estado do paraná, conforme planilha orçamentária de referência anexo xii e demais elementos técnicos instrutores.;;False;;2025;37;fundepar-instituto paranaense de desenvolvimento educacional;;;;obras;0.26604917061137723;0.4185473875910252;0.037301845141905196;Suspeita Moderada;True;valor_estimado_log1p;1.95;Valor Estimado Atípico;R$ 4,997,777,591 estimado;R$ 4,997,777,591;—;—;—
97;2024;Pregão Eletrônico;Revogado;Contratação de pessoa jurídica para fornecimento de solução de software, na modalidade SaaS - software como serviço, para automatização do processo de recebimento, classificação e tratamento de informações contratuais, contábeis, fiscais e financeiras de documentos fiscais emitidos por fornecedores de produtos e serviços contratados.;CELEPAR-Companhia de Tecnologia da Informação e Comunicação do Paraná;Menor Preço;;;2024-07-30;;TB_LICITACOES-2024.csv;contratação de pessoa jurídica para fornecimento de solução de software, na modalidade saas - software como serviço, para automatização do processo de recebimento, classificação e tratamento de informações contratuais, contábeis, fiscais e financeiras de documentos fiscais emitidos por fornecedores de produtos e serviços contratados.;;False;;2024;54;celepar-companhia de tecnologia da informacao e comunicacao do parana;;;;tecnologia;0.26600469280899947;0.4392388269107912;0.0061534916563119385;Suspeita Moderada;True;valor_estimado_log1p;6.61;Valor Estimado Atípico;valor atípico;—;—;—;—
863;2020;Pregão Eletrônico;Homologado;"O presente certame destina-se a Contratação de empresa para execução das obras de
recomposição do pavimento de concreto, adequação da drenagem pluvial e recomposição do
acostamento da Avenida Portuária, sob responsabilidade do Porto de Paranaguá, conforme
escopo, especificação de serviços e demais condições presentes no Termo de Referência, Edital e
anexos.";APPA-Administração dos Portos de Paranaguá e Antonina;Menor Preço;82513931.0;82000000.0;2020-09-09;2020-09-28;TB_LICITACOES-2020.csv;o presente certame destina-se a contratação de empresa para execução das obras de recomposição do pavimento de concreto, adequação da drenagem pluvial e recomposição do acostamento da avenida portuária, sob responsabilidade do porto de paranaguá, conforme escopo, especificação de serviços e demais condições presentes no termo de referência, edital e anexos.;0.9937715850672537;False;19.0;2020;89;appa-administracao dos portos de paranagua e antonina;Paranaguá;150104.0;0.746;obras;0.265974678954906;0.4307280275401782;0.018844656076997774;Suspeita Moderada;True;gasto_per_capita_log1p;6.31;Gasto per Capita Atípico;gasto per capita muito alto;R$ 82,513,931;R$ 82,000,000;0.99×;19 dias
120;2025;Pregão Eletrônico (Lei Federal 14.133/2021);Homologado;A presente licitação tem por objeto a aquisição de gêneros alimentícios para atender a demanda do 5º Comando Regional de Polícia Militar no município de Francisco Beltrão PR. no valor de  RS 174.343,25. Divergências entre o portal GMS e o edital, prevalecerão as exigências contidas no edital.;SUBPR-5CRPM-5° Comando Regional da Polícia Militar - SESP;Menor Preço;17434325.0;16964376.0;2025-03-24;2025-04-25;TB_LICITACOES-2025.csv;a presente licitação tem por objeto a aquisição de gêneros alimentícios para atender a demanda do 5º comando regional de polícia militar no município de francisco beltrão pr. no valor de rs 174.343,25. divergências entre o portal gms e o edital, prevalecerão as exigências contidas no edital.;0.9730446117070779;False;32.0;2025;3;subpr-5crpm-5° comando regional da policia militar - sesp;;;;alimentacao;0.2659714410407699;0.4062306161151166;0.055582678429249834;Suspeita Moderada;True;volume_orgao_ano_log1p;2.37;Volume Anual Atípico;volume de licitações atípico;R$ 17,434,325;R$ 16,964,376;0.97×;32 dias
388;2023;Pregão Eletrônico (Lei Federal 14.133/2021);Homologado;"Contratacao de empresa para verificacao e emissao de laudo pericial de comparacao das impressoes datiloscópicas coletadas, de candidatos do Concurso Vestibular e do Processo de Avaliação Seriada,
PAS-UEM, de 2022.";UEM-Universidade Estadual de Maringá;Menor Preço;1908500.0;;2023-10-04;2023-10-09;TB_LICITACOES-2023.csv;contratacao de empresa para verificacao e emissao de laudo pericial de comparacao das impressoes datiloscópicas coletadas, de candidatos do concurso vestibular e do processo de avaliação seriada, pas-uem, de 2022.;;False;5.0;2023;121;uem-universidade estadual de maringa;Maringá;429660.0;0.681;educacao;0.2659635895676231;0.43727745078861163;0.008992797736140421;Suspeita Moderada;True;gasto_per_capita_log1p;1.69;Gasto per Capita Atípico;gasto per capita muito alto;R$ 1,908,500;—;—;5 dias
9;2024;Convite;Homologado;"Descarte da quantidade estimada em 25.261 m3, com variação permitida, para mais ou para menos,
em até 10 porcento, de madeira na forma de árvores em pé, de Eucalyptus, no estado de conservação em que se encontram, a serem cortadas e retiradas na Estação de Pesquisa Fazenda Modelo, localizada no município de Ponta Grossa Paraná.";IDR-Instituto de Desenvolvimento Rural do Paraná - IAPAR-EMATER;Maior Lance;7981703.0;18022.0;2024-07-31;2024-08-13;TB_LICITACOES-2024.csv;descarte da quantidade estimada em 25.261 m3, com variação permitida, para mais ou para menos, em até 10 porcento, de madeira na forma de árvores em pé, de eucalyptus, no estado de conservação em que se encontram, a serem cortadas e retiradas na estação de pesquisa fazenda modelo, localizada no município de ponta grossa paraná.;0.0022579141318588274;False;13.0;2024;47;idr-instituto de desenvolvimento rural do parana - iapar-emater;;;;outros;0.2659438352085899;0.4110991935618133;0.04821079767875475;Suspeita Moderada;True;desconto_pct;2.94;Desconto Atípico;desconto de 100%;R$ 7,981,703;R$ 18,022;0.00×;13 dias
1049;2022;Pregão Eletrônico;Homologado;"Empresa especializada para prestação de serviços de locação de bombas infusoras e
fornecimento de equipos e seringas";FUNEAS-Fundação Estatal de Atenção em Saúde do Estado do Paraná;Menor Preço;161500800.0;18214680.0;2022-07-12;2022-12-15;TB_LICITACOES-2022.csv;empresa especializada para prestação de serviços de locação de bombas infusoras e fornecimento de equipos e seringas;0.11278383760328123;False;156.0;2022;319;funeas-fundacao estatal de atencao em saude do estado do parana;;;;locacao;0.2658396022350076;0.4295044873187104;0.02034227460945338;Suspeita Moderada;True;desconto_pct;2.58;Desconto Atípico;desconto de 89%;R$ 161,500,800;R$ 18,214,680;0.11×;156 dias
98;2021;Concorrência Pública;Homologado;"O objeto desta licitação é a contratação de serviços de consultoria técnica de pessoa
jurídica para elaboração do Plano de Manejo do Parque Estadual Ilha das Cobras,
realizando síntese de dados secundários e especializados, levantamento de dados
primários para uso público, condução de oficinas, atividades de análise estratégica e
planejamento.";IAT-Instituto Água e Terra (Antigo IAP);Técnica e Preço;35000000.0;29420600.0;2021-11-09;2022-08-02;TB_LICITACOES-2021.csv;o objeto desta licitação é a contratação de serviços de consultoria técnica de pessoa jurídica para elaboração do plano de manejo do parque estadual ilha das cobras, realizando síntese de dados secundários e especializados, levantamento de dados primários para uso público, condução de oficinas, atividades de análise estratégica e planejamento.;0.8405885714285715;False;266.0;2021;44;iat-instituto agua e terra (antigo iap);;;;obras;0.2658362112078769;0.42122114907045677;0.03275880441400723;Suspeita Moderada;True;lead_time_log1p;1.5;Prazo Processual Atípico;266 dias de prazo;R$ 35,000,000;R$ 29,420,600;0.84×;266 dias
66;2023;Pregão Eletrônico;Anulado;Trata-se de aquisição de ESTANTE DE BINS;FUNEAS-Fundação Estatal de Atenção em Saúde do Estado do Paraná;Menor Preço;382000.0;;2023-02-07;;TB_LICITACOES-2023.csv;trata-se de aquisição de estante de bins;;False;;2023;346;funeas-fundacao estatal de atencao em saude do estado do parana;;;;mobiliario;0.2658104945942916;0.3798302709948822;0.09478082999340573;Suspeita Moderada;True;lead_time_log1p;1.92;Prazo Processual Atípico;prazo atípico;R$ 382,000;—;—;—
775;2023;Pregão Eletrônico (Lei Federal 14.133/2021);Homologado;HORTIFRUTIGRANJEIROS PARA PONTA GROSSA, IRATI E LAPA.;DECON-Departamento de Logística para Contratações Públicas (Antigo DEAM);Maior Desconto;128108989.0;;2024-01-29;2024-02-06;TB_LICITACOES-2023.csv;hortifrutigranjeiros para ponta grossa, irati e lapa.;;False;8.0;2024;135;decon-departamento de logistica para contratacoes publicas (antigo deam);;;;alimentacao;0.2657320094565995;0.41021302614580013;0.0490104844227986;Suspeita Moderada;True;proporcao_hom_est;0.68;Relação Valor Anômala;relação anômala;R$ 128,108,989;—;—;8 dias
2144;2024;Pregão Eletrônico (Lei Federal 14.133/2021);Homologado;Contratação de empresa especializada para o fornecimento e instalação de 2 unidades de guarda corpos em chapa rígida de policarbonato 12mm de espessura e com estrutura em alumínio, respectivamente, nos 1º e 2º balcões - galerias - do Plenário da Assembleia Legislativa do Estado do Paraná, conforme condições exigências e demais especificações do Termo de Referência, Anexo I.;ALEP-Assembleia Legislativa do Estado do Paraná;Maior Desconto;127989880.0;5000.0;2024-12-18;2025-01-10;TB_LICITACOES-2024.csv;contratação de empresa especializada para o fornecimento e instalação de 2 unidades de guarda corpos em chapa rígida de policarbonato 12mm de espessura e com estrutura em alumínio, respectivamente, nos 1º e 2º balcões - galerias - do plenário da assembleia legislativa do estado do paraná, conforme condições exigências e demais especificações do termo de referência, anexo i.;3.906558862310051e-05;False;23.0;2024;25;alep-assembleia legislativa do estado do parana;;;;obras;0.26570723271430496;0.41471405856522214;0.04219699393792918;Suspeita Moderada;True;desconto_pct;2.94;Desconto Atípico;desconto de 100%;R$ 127,989,880;R$ 5,000;0.00×;23 dias
61;2025;Pregão Eletrônico;Homologado;Fornecimento de Controle de Qualidade Interno e Ensaio de Proficiência;UEM-Universidade Estadual de Maringá;Menor Preço;1486895.0;1486895.0;2025-07-15;2024-11-01;TB_LICITACOES-2025.csv;fornecimento de controle de qualidade interno e ensaio de proficiência;1.0;False;0.0;2025;143;uem-universidade estadual de maringa;Maringá;429660.0;0.681;outros;0.26564623956220357;0.41706425167350697;0.0385192213952484;Suspeita Moderada;True;lead_time_log1p;1.92;Prazo Processual Atípico;prazo atípico;R$ 1,486,895;R$ 1,486,895;1.00×;—
2533;2022;Pregão Eletrônico;Homologado;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE ANÁLISE DE ÁGUA TRATADA PARA SER UTILIZADA EM PROCEDIMENTOS DE HEMODIALISE DO HOSPITAL UNIVERSITÁRIO DE LONDRINA.;UEL-Universidade Estadual de Londrina;Menor Preço;4790040.0;2539983.0;2022-09-09;2022-10-13;TB_LICITACOES-2022.csv;contratação de empresa especializada em serviços de análise de água tratada para ser utilizada em procedimentos de hemodialise do hospital universitário de londrina.;0.5302634215998197;False;34.0;2022;20;uel-universidade estadual de londrina;Londrina;581382.0;0.725;saude;0.2655967158046637;0.38682409249835026;0.08375565076413385;Suspeita Moderada;True;gasto_per_capita_log1p;2.22;Gasto per Capita Atípico;gasto per capita muito alto;R$ 4,790,040;R$ 2,539,983;0.53×;34 dias
884;2023;Pregão Eletrônico;Homologado;CONTRATAÇÃO DE FORNECIMENTO PARCELADO DE APARELHOS TELEFÔNICOS PARA ATENDER O CAMPUS E HOSPITAL UNIVERSITÁRIO/UEL.;UEL-Universidade Estadual de Londrina;Menor Preço;3568660.0;3019300.0;2023-11-10;2023-02-07;TB_LICITACOES-2023.csv;contratação de fornecimento parcelado de aparelhos telefônicos para atender o campus e hospital universitário/uel.;0.8460598656078192;False;0.0;2023;377;uel-universidade estadual de londrina;Londrina;581382.0;0.725;saude;0.26559044107513136;0.40834438446866106;0.051459525984836774;Suspeita Moderada;True;gasto_per_capita_log1p;1.97;Gasto per Capita Atípico;gasto per capita muito alto;R$ 3,568,660;R$ 3,019,300;0.85×;—
1988;2024;Pregão Eletrônico (Lei Federal 14.133/2021);Fase Certame;Contratação de empresa especializada para a realização dos serviços de revitalização da fachada brises e marquise do edifício sede do Tribunal de Contas do Estado do Paraná.;TCEPR-Tribunal do Contas do Estado do Paraná;Menor Preço;0.0;;2024-11-28;;TB_LICITACOES-2024.csv;contratação de empresa especializada para a realização dos serviços de revitalização da fachada brises e marquise do edifício sede do tribunal de contas do estado do paraná.;;False;;2024;25;tcepr-tribunal do contas do estado do parana;;;;obras;0.26550068240368047;0.4361767017065575;0.009486653449364994;Suspeita Moderada;True;valor_estimado_log1p;6.61;Valor Estimado Atípico;valor atípico;—;—;—;—
